battery_id,manufacturer,chemistry,capacity_kWh,charge_cycles,avg_temp_celsius,discharge_rate_c,charge_rate_c,avg_soc_percent,storage_time_months,fast_charge_ratio,calendar_age_years,capacity_retained_percent
BAT001621,LG Chem,LFP,53.92,637,38.59,0.524,2.356,52.72,0.2,0.138,3.98,87.9
BAT001622,Tesla,LFP,70.26,614,24.13,0.521,0.876,64.8,4.5,0.254,2.72,87.94
BAT001623,CATL,NMC,76.4,,19.44,1.121,1.004,79.66,2.6,0.407,4.8,82.3
BAT001624,Samsung SDI,NCA,67.7,443,16.9,0.557,1.555,44.57,4.4,,0.19,93.23
BAT001625,Tesla,NMC,,627,18.16,0.68,0.764,,0.6,0.094,3.0,88.38
BAT001626,,LFP,54.2,50,29.75,1.002,0.903,61.22,12.0,0.504,0.54,91.8
BAT001627,Panasonic,NMC,60.19,518,44.08,0.803,1.03,43.03,4.7,,0.96,87.06
BAT001628,CATL,LFP,82.47,256,35.56,1.408,1.056,57.44,1.9,0.592,5.52,82.9
BAT001629,Tesla,LFP,75.45,1057,23.74,1.321,1.551,61.94,,0.183,1.56,85.43
BAT001630,LG Chem,NMC,64.64,708,30.36,0.806,1.278,42.46,3.0,0.085,0.61,87.44
BAT001631,BYD,NMC,94.86,572,21.13,0.5,,74.7,11.4,0.152,0.93,93.7
BAT001632,Panasonic,LFP,56.7,418,21.56,2.012,1.073,39.44,0.2,0.357,,93.09
BAT001633,CATL,NMC,69.58,620,17.76,1.003,1.057,52.12,1.5,0.169,0.88,
BAT001634,BYD,NMC,67.42,1301,18.23,0.5,0.608,54.69,1.1,0.276,3.47,82.54
BAT001635,Samsung SDI,NMC,84.23,241,28.89,0.507,0.649,72.81,0.6,0.527,0.25,90.88
BAT001636,Panasonic,NMC,75.72,299,44.07,,1.423,38.63,3.6,0.091,2.47,87.08
BAT001637,LG Chem,LFP,73.38,443,32.29,1.537,0.812,62.3,2.9,0.401,3.32,89.33
BAT001638,Tesla,NMC,,1081,35.2,1.177,1.15,41.45,4.0,0.352,1.74,81.38
BAT001639,Samsung SDI,,87.98,871,30.49,0.5,0.833,55.13,2.8,0.218,,83.31
BAT001640,Samsung SDI,LFP,71.73,,24.76,1.81,0.5,31.21,6.0,0.349,4.65,
BAT001641,CATL,LFP,76.73,672,21.32,0.5,0.5,55.65,6.3,0.371,2.47,91.51
BAT001642,BYD,NMC,63.77,846,29.04,1.143,0.953,59.61,1.3,0.044,,87.21
BAT001643,LG Chem,LFP,61.41,497,,0.564,1.111,39.45,17.1,0.143,1.92,92.46
BAT001644,CATL,NMC,97.49,2373,20.77,2.05,1.393,37.49,11.2,0.169,0.61,72.4
BAT001645,Tesla,NMC,48.4,424,19.49,1.886,0.808,71.11,1.3,0.053,0.51,
BAT001646,BYD,NCA,59.19,597,33.71,1.649,,51.41,4.0,0.433,0.85,85.68
BAT001647,Tesla,NCA,97.21,592,15.36,0.926,0.617,51.71,3.1,0.47,0.9,87.76
BAT001648,BYD,NMC,84.61,916,31.51,1.236,1.377,63.26,13.8,0.147,1.56,83.89
BAT001649,BYD,NMC,70.12,299,27.71,0.802,1.196,41.35,6.4,0.275,0.34,94.6
BAT001650,CATL,NMC,93.7,303,27.8,0.839,0.713,65.02,,0.39,1.01,93.7
BAT001651,Tesla,NMC,81.7,758,21.73,,0.857,64.81,5.1,0.283,0.44,88.09
BAT001652,Panasonic,NMC,78.49,487,4.65,2.065,1.191,83.39,5.6,0.575,1.81,86.44
BAT001653,Panasonic,NMC,78.38,,28.5,1.402,1.233,46.79,1.2,0.54,0.55,87.45
BAT001654,,,,2375,31.2,0.5,1.548,51.42,3.0,0.359,3.21,62.87
BAT001655,Tesla,,82.59,549,28.48,1.382,1.531,37.08,3.9,0.137,1.84,89.69
BAT001656,Samsung SDI,NMC,107.94,448,23.99,0.901,1.521,30.07,1.1,0.327,2.33,90.34
BAT001657,CATL,LFP,72.08,,17.03,1.196,0.766,60.08,2.3,0.019,4.06,84.39
BAT001658,,NMC,72.54,689,20.64,0.676,,61.51,2.9,0.391,0.39,85.97
BAT001659,LG Chem,NMC,56.45,508,28.15,1.681,0.72,57.34,4.1,0.271,3.02,88.69
BAT001660,LG Chem,NMC,74.22,,19.47,1.081,0.909,65.41,,0.081,3.09,88.67
BAT001661,CATL,LFP,102.94,1883,18.27,,0.684,56.95,5.9,0.175,6.78,75.07
BAT001662,LG Chem,NMC,89.77,271,14.87,0.788,0.656,48.24,0.5,0.203,2.08,93.91
BAT001663,Samsung SDI,NCA,66.84,460,28.75,0.5,0.629,59.35,1.6,0.231,1.19,88.11
BAT001664,LG Chem,LFP,75.45,1063,28.6,0.571,1.378,85.27,2.3,0.211,0.66,86.36
BAT001665,Samsung SDI,NMC,55.55,1619,33.08,1.302,1.168,28.47,3.1,0.501,3.46,
BAT001666,BYD,NMC,60.46,87,9.99,0.5,0.992,44.96,,0.14,1.98,99.08
BAT001667,Panasonic,LFP,77.24,902,33.2,0.855,0.5,42.99,0.7,0.124,0.93,93.0
BAT001668,Samsung SDI,NCA,67.58,,32.79,0.868,1.403,71.8,8.2,0.183,1.57,
BAT001669,Tesla,,59.33,1357,33.46,1.271,0.5,60.31,4.8,0.404,3.68,
BAT001670,BYD,NMC,82.35,265,41.63,0.5,,53.28,4.6,0.23,0.37,87.03
BAT001671,LG Chem,LFP,73.77,713,26.55,1.179,0.815,65.12,1.9,0.137,0.89,89.4
BAT001672,BYD,NMC,51.49,728,26.52,1.165,0.5,43.4,3.1,0.175,0.1,92.05
BAT001673,BYD,NCA,43.87,727,18.61,,0.884,49.95,4.9,0.36,0.1,87.49
BAT001674,BYD,LFP,66.45,1587,18.91,1.705,0.573,36.07,1.2,0.321,1.86,81.87
BAT001675,BYD,LFP,51.18,577,26.58,1.1,0.948,71.73,2.2,0.313,2.2,90.13
BAT001676,Panasonic,NMC,,769,23.26,0.742,1.45,69.6,6.1,0.279,2.93,81.94
BAT001677,Tesla,LFP,91.93,530,30.01,1.322,0.767,50.37,2.2,0.262,1.27,92.56
BAT001678,LG Chem,NMC,73.53,436,22.5,1.418,0.681,58.47,6.8,0.309,0.27,91.76
BAT001679,Tesla,NMC,71.02,188,14.72,1.193,1.151,51.41,2.8,0.579,2.3,88.22
BAT001680,CATL,NMC,72.17,,15.05,1.636,0.5,25.01,0.6,0.073,6.93,81.41
BAT001681,Panasonic,NCA,57.93,388,19.67,1.159,1.352,,0.4,0.529,,84.5
BAT001682,Samsung SDI,LFP,81.16,1312,30.08,1.747,1.166,42.12,1.4,0.134,1.24,86.26
BAT001683,CATL,NMC,73.04,1746,21.37,0.5,1.266,58.24,1.7,0.569,0.36,75.39
BAT001684,BYD,NCA,63.64,242,27.09,1.032,0.715,61.21,4.2,0.489,4.28,84.34
BAT001685,Tesla,NMC,65.89,424,13.29,0.752,0.542,36.38,0.4,,3.96,90.75
BAT001686,BYD,NMC,56.59,845,26.13,1.063,1.63,21.82,1.5,0.733,0.62,77.31
BAT001687,Samsung SDI,NMC,68.91,771,25.26,2.002,1.213,50.67,0.8,0.401,0.84,89.63
BAT001688,LG Chem,LFP,,1894,33.33,0.645,0.728,71.98,1.4,0.507,2.1,75.57
BAT001689,CATL,NMC,68.52,609,26.08,1.167,0.983,31.33,1.9,0.278,1.12,88.37
BAT001690,BYD,NMC,75.83,697,39.66,0.5,0.5,78.75,1.0,0.167,5.74,83.78
BAT001691,Tesla,LFP,73.82,1261,38.62,2.021,1.676,73.43,4.6,0.098,1.5,81.58
BAT001692,LG Chem,NMC,78.46,613,25.28,1.015,0.777,61.16,3.2,0.047,6.92,80.83
BAT001693,LG Chem,LFP,,1078,35.74,0.853,0.5,53.35,3.4,0.582,2.64,81.42
BAT001694,Tesla,NMC,83.9,1328,25.87,1.739,1.231,43.84,6.0,0.08,3.65,78.56
BAT001695,Panasonic,LFP,89.32,635,21.26,0.973,1.328,65.17,6.1,0.443,1.37,91.23
BAT001696,Tesla,LFP,62.28,,24.24,1.506,1.447,52.7,0.7,0.219,1.77,94.52
BAT001697,Tesla,LFP,67.37,235,21.45,1.204,0.764,,7.2,0.623,0.23,94.15
BAT001698,Tesla,NMC,84.8,1459,21.71,1.272,1.052,48.47,1.3,0.237,1.64,77.98
BAT001699,Samsung SDI,LFP,85.07,633,1.37,2.528,0.759,51.85,7.8,0.138,0.1,94.4
BAT001700,CATL,NMC,,930,47.79,1.114,1.25,61.51,0.5,0.694,1.01,75.66
BAT001701,Samsung SDI,NCA,84.17,435,29.98,1.34,0.991,61.39,4.8,0.343,1.58,86.17
BAT001702,LG Chem,NMC,60.85,720,,0.5,1.665,37.14,1.3,0.528,1.8,83.28
BAT001703,Panasonic,NMC,,820,27.01,0.5,1.038,85.14,0.2,0.355,0.89,86.78
BAT001704,LG Chem,LFP,74.61,,,0.932,1.351,59.76,4.9,0.122,,87.58
BAT001705,LG Chem,LFP,54.23,972,34.69,0.503,1.156,49.6,8.1,0.135,1.54,85.17
BAT001706,Tesla,NMC,68.49,2276,22.44,0.518,0.5,31.55,4.8,,0.21,74.27
BAT001707,CATL,NCA,,194,32.92,0.559,0.762,34.3,14.4,0.535,1.33,87.16
BAT001708,Panasonic,NCA,78.04,365,18.98,2.101,0.666,55.87,4.7,,1.15,87.38
BAT001709,CATL,LFP,109.51,616,21.82,1.305,0.989,41.14,1.3,0.394,2.45,86.94
BAT001710,CATL,NMC,53.34,983,27.92,1.661,1.058,59.5,5.1,0.303,0.1,87.95
BAT001711,Tesla,LFP,,619,29.25,2.203,1.385,36.79,1.5,0.641,0.14,92.97
BAT001712,Tesla,,40.0,323,23.14,0.608,0.5,52.22,0.5,0.051,0.1,94.77
BAT001713,BYD,NMC,75.0,1377,26.56,1.911,1.65,62.13,3.3,,1.4,80.8
BAT001714,LG Chem,NCA,84.47,809,23.85,0.5,0.94,50.12,0.2,0.253,3.03,85.06
BAT001715,Tesla,NCA,87.57,517,30.54,1.776,1.44,73.19,3.7,0.57,0.15,83.15
BAT001716,Samsung SDI,NCA,63.01,650,23.97,0.769,0.743,68.5,5.7,,0.22,87.25
BAT001717,Tesla,NMC,90.59,2026,23.44,0.954,0.691,51.14,1.2,0.456,0.27,73.88
BAT001718,CATL,NMC,66.99,854,31.94,1.793,1.065,10.0,10.9,0.022,2.25,87.78
BAT001719,Samsung SDI,,,697,26.47,1.215,0.5,63.49,,,0.4,89.93
BAT001720,Panasonic,NMC,68.5,811,29.68,1.305,1.658,72.52,0.7,0.414,1.23,84.84
BAT001721,Tesla,NMC,57.95,581,42.49,,1.648,76.02,8.8,0.173,0.57,87.62
BAT001722,Tesla,NMC,98.55,1207,11.1,1.194,0.5,31.68,2.7,0.202,3.1,83.69
BAT001723,Panasonic,LFP,75.72,792,17.81,0.982,1.3,64.77,0.1,0.499,1.87,87.16
BAT001724,Tesla,LFP,91.31,50,18.51,0.822,0.503,57.33,,0.117,1.92,96.41
BAT001725,CATL,LFP,90.67,1022,19.03,1.151,1.074,56.39,0.7,0.217,3.98,88.21
BAT001726,Tesla,LFP,60.48,969,34.96,0.645,1.083,50.78,0.2,,5.81,79.1
BAT001727,LG Chem,NMC,93.24,81,6.33,1.572,1.794,62.25,0.2,0.226,1.23,95.66
BAT001728,Samsung SDI,NMC,82.55,391,28.37,1.354,,77.47,7.6,0.076,1.72,94.69
BAT001729,BYD,LFP,59.39,451,14.27,0.899,0.858,63.22,6.1,0.136,0.35,94.1
BAT001730,CATL,NMC,81.73,699,,0.5,0.662,49.4,1.1,0.209,0.47,88.41
BAT001731,Panasonic,LFP,59.66,716,26.82,0.887,1.098,,1.7,0.456,,86.66
BAT001732,CATL,NMC,99.1,397,41.1,0.667,0.883,56.91,8.1,0.199,0.9,91.72
BAT001733,LG Chem,NMC,87.21,776,23.14,1.817,0.594,65.83,2.9,0.071,1.57,89.44
BAT001734,LG Chem,LFP,73.93,385,23.79,0.972,1.467,46.9,7.8,0.124,0.33,
BAT001735,Tesla,NCA,93.97,462,10.65,1.488,1.202,82.94,3.2,0.142,0.23,91.04
BAT001736,Samsung SDI,,51.27,1532,,1.094,1.365,51.08,0.7,,0.18,71.79
BAT001737,LG Chem,NMC,63.76,358,,0.73,1.75,,,0.241,0.1,91.01
BAT001738,Tesla,NMC,,606,28.07,1.739,,69.15,24.0,0.452,0.36,91.97
BAT001739,Panasonic,LFP,108.54,1791,32.51,0.5,0.84,45.16,7.9,0.543,1.9,78.97
BAT001740,LG Chem,NMC,58.94,533,24.53,1.351,1.057,57.33,4.1,0.151,7.28,83.85
BAT001741,,NMC,49.39,360,27.97,1.172,1.25,39.06,1.5,0.33,1.01,92.43
BAT001742,BYD,NCA,53.33,,30.01,1.347,,75.77,2.9,0.448,1.16,88.76
BAT001743,,,88.59,727,,0.851,1.17,52.55,8.1,0.08,0.33,92.89
BAT001744,Tesla,NCA,66.09,720,28.71,0.5,0.743,71.93,10.5,0.07,2.88,87.37
BAT001745,LG Chem,NMC,72.61,345,39.53,1.047,1.09,47.28,1.7,0.217,,91.78
BAT001746,LG Chem,NMC,86.44,1387,37.23,1.166,1.284,58.45,0.2,0.103,7.26,69.95
BAT001747,Tesla,LFP,72.63,935,35.72,1.653,0.96,42.32,8.6,0.276,2.56,82.68
BAT001748,Panasonic,NMC,78.06,721,38.37,1.029,1.186,41.5,4.8,0.321,3.34,79.03
BAT001749,BYD,LFP,83.03,718,16.18,0.5,1.423,61.11,6.8,0.229,0.25,
BAT001750,Tesla,NMC,68.54,956,,1.518,1.054,58.91,8.4,0.188,0.21,88.69
BAT001751,CATL,LFP,72.51,797,18.62,0.591,1.053,34.82,1.7,0.238,2.33,90.47
BAT001752,Panasonic,LFP,78.63,499,49.47,1.106,0.878,64.55,1.4,0.557,5.66,82.01
BAT001753,Tesla,NMC,88.02,704,26.71,0.62,1.45,60.11,14.6,0.084,4.29,87.86
BAT001754,Panasonic,NMC,63.11,815,15.1,1.241,1.223,23.82,2.0,0.167,1.76,
BAT001755,Samsung SDI,LFP,40.0,499,17.29,1.363,1.079,35.71,3.9,0.087,2.19,91.91
BAT001756,BYD,LFP,85.19,692,25.75,0.853,0.879,63.85,4.0,0.272,1.42,95.15
BAT001757,Samsung SDI,,88.92,594,15.46,1.984,1.263,55.88,6.5,0.235,0.1,94.31
BAT001758,LG Chem,NCA,78.0,363,38.08,1.735,1.234,68.02,0.3,,2.23,89.41
BAT001759,Tesla,NMC,79.02,611,30.53,1.28,1.085,56.31,2.7,0.464,0.75,88.14
BAT001760,CATL,NMC,66.54,278,27.19,0.597,1.4,52.22,18.9,0.17,0.72,95.97
BAT001761,LG Chem,NMC,82.5,486,17.62,1.5,1.007,28.15,1.1,0.079,1.36,96.96
BAT001762,BYD,NCA,87.8,368,15.75,1.155,1.224,12.63,7.3,0.046,0.5,96.88
BAT001763,Tesla,NMC,75.85,2097,27.44,0.666,0.814,40.4,0.8,0.39,0.45,74.62
BAT001764,LG Chem,NMC,112.37,237,25.96,1.818,1.181,64.14,8.9,0.618,0.15,93.36
BAT001765,Tesla,LFP,51.54,458,16.02,1.033,0.5,29.47,2.7,0.264,1.99,92.13
BAT001766,Panasonic,NMC,77.44,798,24.62,1.226,0.5,41.24,1.5,0.375,0.65,87.63
BAT001767,BYD,NMC,,804,24.64,1.428,0.675,39.9,0.4,0.382,,
BAT001768,LG Chem,NMC,88.2,,30.17,0.752,0.88,57.16,,0.47,0.44,86.74
BAT001769,Panasonic,LFP,51.28,1308,39.74,0.814,1.222,90.0,1.0,0.077,5.49,75.89
BAT001770,LG Chem,LFP,54.99,1554,10.44,2.179,0.952,60.27,5.6,0.739,4.03,75.8
BAT001771,LG Chem,NCA,65.5,651,30.61,1.399,,59.97,1.2,0.171,8.37,76.97
BAT001772,BYD,NCA,,1251,20.12,0.986,1.032,47.06,1.5,0.399,1.18,78.87
BAT001773,,LFP,66.07,1372,27.95,0.5,0.697,51.21,9.9,0.446,0.37,84.51
BAT001774,Samsung SDI,LFP,66.22,764,25.91,0.5,1.666,62.66,5.9,0.282,1.18,87.64
BAT001775,BYD,NMC,72.29,827,28.5,1.339,0.741,60.0,1.5,0.831,0.58,79.51
BAT001776,Panasonic,NMC,71.37,272,16.3,0.904,0.882,43.87,9.3,0.138,0.76,94.16
BAT001777,CATL,LFP,97.31,657,31.79,1.238,1.507,35.54,1.7,0.307,2.59,83.77
BAT001778,LG Chem,NCA,85.29,,25.29,1.062,0.942,,4.5,0.147,1.42,91.55
BAT001779,Panasonic,NMC,70.13,408,34.74,1.461,1.444,21.32,4.1,0.174,0.76,88.32
BAT001780,BYD,NMC,106.46,945,36.15,1.332,1.394,64.56,13.0,0.841,1.74,76.01
BAT001781,Tesla,NMC,82.37,776,26.66,2.135,0.5,62.68,9.8,0.429,0.97,86.63
BAT001782,Samsung SDI,NMC,60.47,527,31.93,1.143,1.227,,1.6,0.367,0.41,88.58
BAT001783,LG Chem,NMC,78.85,731,31.32,0.74,1.1,62.98,6.2,0.513,6.61,78.83
BAT001784,CATL,NMC,,253,34.37,0.871,0.951,69.32,0.4,0.354,0.5,
BAT001785,CATL,NMC,64.69,639,33.86,0.932,0.5,48.98,0.4,0.155,0.53,85.28
BAT001786,Samsung SDI,LFP,59.21,653,16.85,0.565,1.188,36.28,5.6,0.565,0.84,86.18
BAT001787,CATL,NMC,76.3,621,26.95,0.959,0.975,67.9,2.8,0.334,0.76,
BAT001788,CATL,LFP,69.6,663,15.28,1.195,0.876,64.98,2.4,0.193,0.37,94.57
BAT001789,Tesla,NCA,97.19,497,-4.82,0.904,0.971,40.51,9.7,0.094,0.65,90.7
BAT001790,LG Chem,NCA,86.12,534,21.63,1.101,0.961,46.85,1.3,0.074,7.18,82.81
BAT001791,Tesla,LFP,65.39,734,,0.5,0.879,81.43,13.1,0.428,0.21,89.66
BAT001792,BYD,NMC,81.39,725,23.39,1.118,1.059,44.18,0.8,0.517,1.02,85.94
BAT001793,LG Chem,NCA,94.01,516,23.88,0.541,1.009,64.72,1.1,0.172,1.49,89.99
BAT001794,CATL,LFP,54.09,481,4.26,,0.932,71.02,1.2,0.063,,89.74
BAT001795,Tesla,NMC,59.66,513,31.16,0.654,0.5,62.52,2.8,0.253,2.24,90.15
BAT001796,Tesla,NMC,74.83,763,26.93,1.716,1.191,69.0,0.8,0.321,1.14,89.93
BAT001797,BYD,,75.53,1071,39.88,0.5,0.681,37.16,2.8,,,79.6
BAT001798,Tesla,NMC,74.22,,29.52,0.5,0.906,46.14,3.3,0.205,12.0,77.34
BAT001799,Tesla,NMC,70.34,842,38.75,0.976,1.461,,1.3,0.006,2.74,87.75
BAT001800,,NCA,70.11,878,23.54,1.456,1.019,75.53,8.4,0.261,3.56,84.72
BAT001801,,NMC,80.76,607,19.74,,1.304,46.85,0.0,0.415,,85.91
BAT001802,BYD,LFP,92.01,1062,26.43,2.217,,78.42,,0.384,2.26,84.6
BAT001803,Panasonic,LFP,67.79,,18.35,0.5,0.694,50.83,9.3,0.143,0.43,94.17
BAT001804,Panasonic,LFP,111.58,636,22.42,1.486,1.803,57.53,2.3,0.521,0.11,89.3
BAT001805,Panasonic,NCA,104.41,254,28.15,1.644,1.755,58.26,1.9,0.332,1.95,
BAT001806,BYD,NCA,94.94,852,21.45,1.418,,37.12,0.1,0.288,7.73,75.19
BAT001807,CATL,NMC,84.34,999,23.4,0.525,0.903,58.38,2.3,0.093,1.3,89.16
BAT001808,Tesla,NCA,105.12,1265,23.09,1.177,0.822,56.37,,0.088,1.42,80.03
BAT001809,Tesla,LFP,70.65,737,41.18,1.172,0.819,32.82,10.7,0.315,0.96,86.67
BAT001810,Tesla,NMC,62.51,862,17.32,0.5,0.583,60.41,8.6,0.472,2.1,80.97
BAT001811,CATL,LFP,67.11,712,32.09,0.5,1.05,45.08,,0.169,0.43,89.89
BAT001812,BYD,LFP,59.96,691,34.59,1.444,1.493,67.15,1.9,0.291,7.74,84.15
BAT001813,Panasonic,NCA,76.83,539,31.66,1.401,1.492,44.23,3.1,0.103,,74.56
BAT001814,Tesla,NMC,79.5,1055,31.6,0.908,0.807,67.64,1.2,0.093,3.34,82.54
BAT001815,Tesla,LFP,78.01,,22.09,1.324,0.5,44.84,2.4,0.237,0.81,87.79
BAT001816,Samsung SDI,NMC,74.81,1256,26.23,1.563,1.124,36.48,1.9,0.234,0.22,87.66
BAT001817,Panasonic,NMC,77.0,1706,19.54,2.436,0.573,41.05,1.6,0.465,1.44,79.38
BAT001818,BYD,NMC,,694,24.06,1.54,1.304,66.3,7.2,0.569,0.95,84.91
BAT001819,CATL,NMC,84.3,990,24.68,1.251,1.471,44.36,3.5,0.586,0.9,83.58
BAT001820,LG Chem,LFP,88.84,699,15.3,0.5,0.885,37.83,8.5,0.03,3.65,89.95
BAT001821,Panasonic,NMC,77.86,276,25.93,0.566,0.5,51.81,13.3,0.348,3.01,91.11
BAT001822,Tesla,NMC,,1395,36.08,0.5,0.687,,0.3,0.465,1.86,74.03
BAT001823,CATL,NMC,47.79,626,,1.102,1.069,36.63,0.8,0.665,0.21,86.72
BAT001824,BYD,NMC,106.24,,23.35,0.669,1.182,63.6,9.3,0.263,1.58,84.0
BAT001825,CATL,NMC,67.02,828,27.42,1.827,1.104,49.07,15.2,0.131,1.8,89.57
BAT001826,CATL,NMC,65.75,568,29.88,1.205,0.5,47.36,5.0,0.135,1.04,90.76
BAT001827,Tesla,LFP,78.68,773,16.23,2.232,1.028,75.54,3.5,0.222,0.56,92.48
BAT001828,Samsung SDI,NMC,83.26,263,22.76,0.914,1.411,52.71,7.5,0.102,1.1,95.92
BAT001829,BYD,NMC,85.15,871,20.46,0.934,0.593,69.76,4.7,,1.16,89.45
BAT001830,Panasonic,NMC,101.62,485,33.25,1.337,0.607,,12.4,0.196,0.68,88.66
BAT001831,Samsung SDI,LFP,97.51,117,36.88,1.357,0.5,43.34,1.0,0.07,0.82,95.48
BAT001832,CATL,NMC,62.84,2111,25.3,0.5,0.5,53.39,4.1,,4.93,76.58
BAT001833,CATL,LFP,89.53,251,,0.5,,62.17,2.8,0.164,3.89,86.71
BAT001834,BYD,LFP,69.24,606,14.68,1.15,0.76,44.36,0.7,0.412,6.14,86.18
BAT001835,BYD,LFP,72.94,883,27.12,0.662,0.749,45.67,1.1,0.257,2.75,88.02
BAT001836,CATL,NMC,58.59,660,23.19,0.5,1.297,38.38,3.1,0.17,5.25,81.67
BAT001837,Tesla,LFP,49.6,1226,34.51,1.146,0.943,74.96,0.0,0.122,2.36,83.06
BAT001838,Panasonic,LFP,74.53,1182,23.41,1.165,2.03,32.46,2.0,0.426,0.57,
BAT001839,Samsung SDI,NMC,60.66,348,19.26,0.895,1.438,,2.8,0.425,5.11,86.5
BAT001840,Panasonic,NCA,88.92,927,-8.47,0.952,1.53,70.04,0.4,0.231,2.11,81.38
BAT001841,Panasonic,NCA,70.78,191,40.67,0.505,1.479,54.22,10.8,0.531,0.1,87.9
BAT001842,LG Chem,NCA,79.63,386,21.2,0.87,1.535,50.41,1.4,0.301,,86.17
BAT001843,LG Chem,LFP,95.51,253,33.52,1.477,0.864,,1.5,0.292,1.36,93.28
BAT001844,CATL,LFP,52.72,107,29.43,0.501,0.5,49.52,2.8,0.268,1.96,93.32
BAT001845,,LFP,64.13,297,24.29,,1.081,58.19,12.3,0.203,0.3,97.95
BAT001846,Panasonic,LFP,77.71,543,29.39,0.617,0.937,54.83,4.9,0.424,1.87,91.04
BAT001847,,LFP,79.69,1099,37.2,0.808,1.558,35.08,,0.523,0.67,81.16
BAT001848,Tesla,,91.55,855,16.88,0.5,1.167,44.36,13.2,0.469,9.37,77.67
BAT001849,Samsung SDI,NMC,88.01,356,20.55,1.11,1.314,43.45,1.8,0.147,0.34,93.27
BAT001850,CATL,NMC,76.45,986,38.59,1.133,0.783,58.39,0.8,0.272,1.1,82.33
BAT001851,Panasonic,NCA,79.55,516,19.72,0.5,0.606,50.52,3.9,0.575,,80.75
BAT001852,,NMC,79.97,915,29.64,0.825,0.687,36.97,2.6,0.268,6.5,76.18
BAT001853,BYD,LFP,52.95,1108,33.31,0.991,0.663,36.45,0.0,0.099,1.59,83.7
BAT001854,,NCA,72.65,879,24.89,1.347,0.708,43.53,2.7,0.214,0.62,84.99
BAT001855,,LFP,78.73,726,29.83,,1.124,43.08,7.7,0.052,0.1,89.2
BAT001856,Panasonic,NCA,81.88,227,22.94,0.632,0.828,,1.2,0.302,3.81,87.68
BAT001857,BYD,LFP,61.13,638,37.72,0.708,1.33,68.2,2.7,0.204,0.37,89.55
BAT001858,LG Chem,NMC,55.97,701,21.91,1.335,1.382,53.89,0.4,0.259,1.39,89.83
BAT001859,BYD,,,475,18.32,0.832,0.94,51.09,2.8,0.243,1.05,35.04
BAT001860,BYD,NMC,104.51,1951,31.22,,1.87,,5.6,0.209,2.38,72.88
BAT001861,BYD,NMC,62.71,741,29.97,0.619,0.828,75.24,0.6,0.302,2.02,89.97
BAT001862,CATL,NMC,92.61,757,26.04,1.875,1.031,45.42,0.8,0.134,0.61,88.63
BAT001863,Tesla,NMC,98.77,,39.35,1.356,1.471,43.22,1.7,0.219,2.06,81.59
BAT001864,CATL,NMC,75.68,250,21.53,1.021,0.97,26.88,4.5,0.272,2.97,91.83
BAT001865,Samsung SDI,NMC,64.8,841,19.86,1.084,1.272,33.59,0.7,0.216,2.29,85.02
BAT001866,Samsung SDI,LFP,82.69,670,20.76,1.344,0.622,51.66,2.2,0.537,1.21,91.04
BAT001867,Tesla,LFP,,621,27.19,0.5,0.65,73.12,3.7,0.607,0.78,88.15
BAT001868,Tesla,NMC,62.11,379,23.55,0.5,1.436,71.76,1.2,,0.72,92.41
BAT001869,Tesla,,65.12,722,14.56,0.724,1.243,42.15,2.0,0.572,1.19,87.77
BAT001870,BYD,LFP,81.8,1103,22.06,0.959,0.5,19.35,12.1,0.414,2.17,86.37
BAT001871,BYD,LFP,89.0,1608,23.51,0.5,1.033,68.86,8.2,0.497,1.43,82.32
BAT001872,Panasonic,NCA,70.16,122,28.57,1.675,0.5,60.37,,0.028,0.1,100.65
BAT001873,LG Chem,NMC,73.96,671,-0.96,1.666,0.5,32.17,5.6,0.242,0.4,
BAT001874,BYD,NCA,85.03,246,37.29,0.608,0.902,55.25,1.3,0.427,0.28,87.25
BAT001875,BYD,NMC,72.41,126,18.14,1.408,0.856,42.29,0.1,0.702,0.28,
BAT001876,CATL,LFP,70.51,216,28.87,1.53,1.568,45.77,6.4,0.142,2.07,96.58
BAT001877,CATL,NMC,63.67,204,29.44,0.5,,26.49,3.7,0.167,1.97,92.77
BAT001878,LG Chem,NMC,63.41,1254,49.28,1.308,0.979,57.85,4.7,0.207,1.15,82.86
BAT001879,Panasonic,NMC,115.03,627,22.92,2.358,1.485,58.3,1.1,0.156,1.81,94.5
BAT001880,CATL,NMC,72.06,744,20.22,1.596,1.026,58.93,2.4,0.066,1.14,89.82
BAT001881,CATL,NMC,95.48,50,24.71,1.081,1.081,66.03,2.2,0.186,1.01,94.58
BAT001882,BYD,LFP,100.26,784,12.48,1.208,0.962,54.93,1.2,0.297,4.07,87.74
BAT001883,CATL,LFP,72.25,867,,1.044,,31.3,0.5,0.138,1.99,87.93
BAT001884,BYD,LFP,80.53,203,18.18,1.048,1.854,43.2,0.9,0.291,1.95,93.84
BAT001885,Tesla,NMC,76.54,649,28.53,0.586,0.5,63.83,8.0,0.294,1.47,
BAT001886,LG Chem,NMC,50.82,592,29.38,1.793,1.028,25.96,1.5,0.267,2.38,88.47
BAT001887,Tesla,NCA,51.72,593,17.49,,1.399,82.79,8.4,0.874,0.1,
BAT001888,Panasonic,LFP,75.73,785,15.85,1.295,1.271,47.13,2.7,0.485,0.1,85.77
BAT001889,,NMC,68.63,576,14.76,0.6,1.544,50.98,5.3,0.315,1.03,89.99
